"Slice","AgeGroup","Treatment","Date","Age","Sex","Weight","rSoln","xSoln","Cut.Time","Rig","HP","FirstIO","StimFile","StimMag","Comment","PPreR_f","PPreR_t","PPostR_1"
"P14f-SS_6-SS26","PND14","EtOH[100mM]","2017_07_06",14,"M",31,"rACSF","rACSF",NA,"Scott",NA,"2017_07_06_0027.atf","2017_07_06_0031.abf","0.05","No rundown during EtOH wash in, flow rate 2mL/min",0.78016546500033,NA,0.879221306825931
"P14f-SS_7-SS27","PND14","EtOH[100mM]","2018_06_21",15,"M",32,"rACSF","rACSF",NA,"Luis","R1","2018_06_21_1001.atf","2018_06_21_1004.abf","0.05","",0.916470949380956,NA,0.979731476710159
"P14f-SS_8","PND14","EtOH[100mM]","2018_10_12",15,"F",33,"rACSF","Sucrose","6:50","Scott","L2","2018_10_12_0000.atf","2018_10_12_0006.abf","0.04","",0.930063036516369,NA,0.9434088259573
"P14f-SS_9","PND14","EtOH[100mM]","2018_10_12",15,"F",33,"rACSF","Sucrose","6:50","Luis","R2","2018_10_12_1003.atf","2018_10_12_1009.abf","0.04","",1.05858945486127,NA,0.980636469362528
"P21f-AP5F_1-AP05","PND21","AP5[50uM]","2017_11_15",19,"M",45,"rACSF","rACSF",NA,"Scott","L3","2017_11_15_0003.atf","2017_11_15_0006.abf","0.04","",0.965618703425047,NA,0.891624761574609
"P21f-AP5F_2-AP06","PND21","AP5[50uM]","2017_11_15",19,"M",45,"rACSF","rACSF",NA,"Luis",NA,"2017_11_15_1007.atf","2017_11_15_1010.abf","0.06","",1.10766009759688,NA,0.987125006200757
"P21f-AP5F_3-AP07","PND21","AP5[50uM]","2017_11_15",19,"M",45,"rACSF","rACSF",NA,"Scott","R4","2017_11_15_0015.atf","2017_11_15_0018.abf","0.035","",0.952232962765313,NA,0.929669424142107
"P21f-AP5F_4-AP08","PND21","AP5[50uM]","2017_11_16",20,"F",53,"rACSF","rACSF",NA,"Scott","L3","2017_11_16_0000.atf","2017_11_16_0003.abf","0.03","Very nice traces for closer look at EPSP",1.05711554612041,NA,0.946172406394316
"P21f-AP5F_5-AP09","PND21","AP5[50uM]","2017_11_17",21,"F",51,"rACSF","rACSF",NA,"Scott","L3","2017_11_17_0004.atf","2017_11_17_0007.abf","0.015","",0.965713355077349,NA,0.924778175076106
"P21f-AP5F_6-AP10","PND21","AP5[50uM]","2017_11_17",21,"F",51,"rACSF","rACSF",NA,"Luis","R3","2017_11_17_1003.atf","2017_11_17_1006.abf","0.035","",0.978582961972863,NA,0.981752211934317
"P21f-AP5F_7-AP11","PND21","AP5[50uM]","2017_11_17",21,"F",51,"rACSF","rACSF",NA,"Scott","R4","2017_11_17_0015.atf","2017_11_17_0018.abf","0.05","",1.00558021342134,NA,0.950413850651277
"P21f-AP5F_8-AP12","PND21","AP5[50uM]","2017_11_18",22,"F",53,"rACSF","rACSF",NA,"Scott","R3","2017_11_18_0003.atf","2017_11_18_0006.abf","0.03","",1.04439204665215,NA,1.03259089769992
"P21f-AP5F_9-AP13","PND21","AP5[50uM]","2017_11_18",22,"F",53,"rACSF","rACSF",NA,"Luis","L3","2017_11_18_1000.atf","2017_11_18_1003.abf","0.035","",0.956921670186977,NA,0.970468453944172
"P21f-AP5W_10","PND21","AP5[50uM]","2018_01_22",22,"M",60,"rACSF","rACSF",NA,"Scott","X2","2018_01_22_0000.atf","2018_01_22_0004.abf","0.025","",0.987391547609013,NA,0.954898298840874
"P21f-AP5W_11","PND21","AP5[50uM]","2018_01_22",22,"M",60,"rACSF","rACSF",NA,"Scott","X3","2018_01_22_0008.atf","2018_01_22_0013.abf","0.03","",1.11935658624908,NA,1.09089824192774
"P21f-AP5W_12","PND21","AP5[50uM]","2018_01_25",21,"M",66,"rACSF","rACSF",NA,"Scott","R3","2018_01_25_0000.atf","2018_01_25_0005.abf","0.03","",0.933444423628076,NA,0.925800664682644
"P21f-AP5W_13","PND21","AP5[50uM]","2018_01_25",21,"M",66,"rACSF","rACSF",NA,"Scott",NA,"2018_01_25_0019.atf","2018_01_25_0014.abf","0.0","",1.00568769169415,NA,1.06319932204393
"P21f-AP5W_14","PND21","AP5[50uM]","2018_01_25",21,"M",66,"rACSF","rACSF",NA,"Scott","","2018_01_25_0019.abf","2018_01_25_0023.abf","0.03","",0.947694402471332,NA,0.929657105444789
"P21f-AP5W_15","PND21","AP5[50uM]","2018_12_06",20,"M",45,"rACSF","rACSF","8:45","Scott","L3","2018_12_06_0000.abf","2018_12_06_0010.abf","0.035","",0.964370666038814,0.949016331241873,0.893383230501945
"P21f-AP5W_16","PND21","AP5[50uM]","2018_12_06",20,"M",45,"rACSF","rACSF","8:45","Luis","R3","2018_12_06_1014.abf","2018_12_06_1023.abf","0.035","",1.00061010679585,1.04456864061058,0.924549106035457
"P21f-CS_1-CS3","PND21","Control","2017_05_10",20,"M",52,"rACSF","rACSF",NA,"Scott","xx","2017_05_10_0000.atf","2017_05_10_0002.abf","0","",NA,NA,NA
"P21f-CS_2-CS4","PND21","Control","2017_05_10",20,"M",52,"rACSF","rACSF",NA,"Scott","xx","2017_05_10_0006.atf","2017_05_10_0008.abf","0","Omit: shit recording",NA,NA,NA
"P21f-CS_3-CS5","PND21","Control","2017_05_11",21,"M",47,"rACSF","rACSF",NA,"Scott","xx","2017_05_11_0005.atf","2017_05_11_0009.abf","0","",1.09035958358468,NA,NA
"P21f-CS_4-CS14","PND21","Control","2017_07_12",20,"M",49,"rACSF","rACSF",NA,"Luis","xx","2017_07_12_1003.atf","2017_07_12_1006.abf","0.0","",0.905094543096422,NA,1.00754182531548
"P21f-CS_5-CS15","PND21","Control","2017_06_24",22,"F",56,"rACSF","rACSF",NA,"Luis","xx","2017_06_24_1002.atf","2017_06_24_1005.abf","0.0","",0.92613748891304,NA,0.888016293165994
"P21f-CS_6-CS16","PND21","Control","2017_06_24",22,"F",56,"rACSF","rACSF",NA,"Luis","xx","2017_06_24_1009.atf","2017_06_24_1013.abf","0.0","",0.976900395290622,NA,0.97811201700043
"P21f-CS_7-CS17","PND21","Control","2017_06_24",22,"F",56,"rACSF","rACSF",NA,"Luis","xx","2017_06_24_1016.atf","2017_06_24_1019.abf","0.0","",0.912649457963454,NA,0.988111090809894
"P21f-CS_8-CS19","PND21","Control","2017_05_10",20,"M",52,"rACSF","rACSF",NA,"Scott","xx","2017_05_10_0011.atf","2017_05_10_0014.abf","0","",1.08035728635324,NA,NA
"P21f-CS_9-CS20","PND21","Control","2017_05_11",21,"M",47,"rACSF","rACSF",NA,"Scott","xx","2017_05_11_0000.atf","2017_05_11_0003.abf","0","",1.09587227794191,NA,NA
"P21f-CS_10-CS31","PND21","Control","2017_09_18",21,"M",51,"rACSF","rACSF",NA,"Scott","xx","2017_09_18_0000.atf","2017_09_18_0003.abf","0.0","",0.938797368286941,NA,0.93052541409011
"P21f-CS_11-CS48","PND21","Control","2018_01_20",20,"F",57,"rACSF","rACSF",NA,"Scott","xx","2018_01_20_0011.atf","2018_01_20_0014.abf","0.0","",1.03350028366492,NA,1.12481448985552
"P21f-CS_12-CS49","PND21","Control","2018_01_20",20,"F",57,"rACSF","rACSF",NA,"Luis","xx","2018_01_20_1003.atf","2018_01_20_1006.abf","0.0","",NA,NA,1.07291306571352
"P21f-CS_13-CS50","PND21","Control","2018_01_20",20,"F",57,"rACSF","rACSF",NA,"Luis","xx","2018_01_20_1013.atf","2018_01_20_1017.abf","0.0","",1.16330036742485,NA,1.01954564356262
"P21f-CS_14-CS51","PND21","Control","2018_01_20",20,"F",57,"rACSF","rACSF",NA,"Scott","xx","2018_01_20_0018.atf","2018_01_20_0021.abf","0.0","",0.943485354175808,NA,1.00821797835383
"P21f-CS_15-CS52","PND21","Control","2018_01_22",22,"M",60,"rACSF","rACSF",NA,"Luis","xx","2018_01_22_1004.atf","2018_01_22_1007.abf","0.0","",1.00547323259842,NA,0.975751441770355
"P21f-CS_16-CS53","PND21","Control","2018_01_22",22,"M",60,"rACSF","rACSF",NA,"Luis","xx","2018_01_22_1015.atf","2018_01_22_1018.abf","0.0","",0.972405878867807,NA,1.02568656968726
"P21f-CS_17-CS54","PND21","Control","2018_01_24",20,"F",62,"rACSF","rACSF",NA,"Luis","xx","2018_01_24_1003.atf","2018_01_24_1006.abf","0.0","",1.01574582547214,NA,NA
"P21f-CS_18-CS55","PND21","Control","2018_01_24",20,"F",62,"rACSF","rACSF",NA,"Luis","xx","2018_01_24_1017.atf","2018_01_24_1020.abf","0","",1.15751433062532,NA,1.0357139819884
"P21f-CS_19","PND21","Control","2018_10_17",20,"M",63.5,"rACSF","Sucrose","7:00","Luis","xx","2018_10_17_1000.atf","2018_10_17_1006.abf","0.0","",0.944113859735122,1.00352439439178,0.978536538317083
"P21f-CS_20","PND21","Control","2018_10_17",20,"M",63.5,"rACSF","Sucrose","7:00","Sunny","xx","2018_10_17_2010.atf","2018_10_17_2016.abf","0.0","",1.01824842256529,1.17823681938705,1.12636780392087
"P21f-CS_21","PND21","Control","2018_10_18",21,"F",63,"rACSF","Sucrose","8:00","Luis","xx","2018_10_18_1000.atf","2018_10_18_1007.abf","0.0","",1.09263275778615,1.14664114471027,1.05818306402578
"P21f-CS_22","PND21","Control","2018_10_19",22,"M",73,"rACSF","Sucrose","11:45","Scott","xx","2018_10_19_0000.atf","2018_10_19_0006.abf","0.0","",1.02610206975269,1.01097079979463,0.989287909426158
"P21f-CS_23","PND21","Control","2018_10_19",22,"M",73,"rACSF","Sucrose","11:45","Luis","xx","2018_10_19_1017.atf","2018_10_19_1023.abf","0.0","",1.00249060622669,NA,0.987880271787354
"P21f-CS_24","PND21","Control","2018_10_19",22,"M",73,"rACSF","Sucrose","11:45","Scott","xx","2018_10_19_0029.atf","2018_10_19_0036.abf","0.0","",0.944547531321941,NA,0.91637469476917
"P21f-CS_25","PND21","Control","2018_12_06",20,"M",45,"rACSF","rACSF","8:45","Scott","R4","2018_12_06_0028.atf","2018_12_06_0035.abf","0.02","First IO done at 0.035mA",0.904533196858799,0.921038943517856,1.0647667667395
"P21f-CS_26","PND21","Control","2018_12_06",20,"M",45,"rACSF","rACSF","8:45","Luis","R4","2018_12_06_1033.atf","2018_12_06_1041.abf","0.035","No",0.880988361005577,0.92822932493614,0.945343943895544
"P21f-CS_27","PND21","Control","2018_12_08",22,"F",63,"rACSF","rACSF","2:40","Scott","R3","2018_12_08_0016.atf","2018_12_08_0024.abf",".0.25","",0.929561055977771,0.979160461635766,1.01835359214957
